Location,FullScallop_Number,T1_height,T1_length,T1_width,T2_height,T2_length,T2_width,T2_whole_weight,T2_body_weight,T2_adductor,sex,acini_1,acini_2,acini_3,acini_4,acini_5,acini_6,acini_7,acini_8,acini_9,acini_10,acini_11,acini_12,acini_13,acini_14,acini_15,acini_16,acini_17,acini_18,acini_19,acini_20,acini_21,acini_22,acini_23,acini_24,acini_25,acini_26,acini_27,acini_28,acini_29,acini_30,acini_31,acini_32,acini_count,mc_1_mode,mc_2_mean,mc_3_max
TI,312049,51,50,13,59.7,55.7,15.6,24.64,9.65,19,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,312050,50,49,14,58.5,59.1,16,24.39,9.3,19,f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312064,,,,51.2,51.7,15.9,19.01,7.82,17,m,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
TI,312073,,,,70.4,73,18.6,40.81,16.21,20,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312074,,,,61,60,16.7,29.76,11.89,20,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,312076,,,,64.1,67.2,16.7,34.77,13.49,20,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312081,,,,66.1,67.5,17.8,37.63,14.59,22,m,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
TI,313003,49,52,15,60.8,59.2,18.5,33.25,11.96,20,f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,313004,65,64,16,77.2,80.2,19.3,53.26,23.42,24,m,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,,,,,,,,,24,2,3,3
TI,313052,62,65,18,67.1,72.1,21,52.11,20,25,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,0,5,0,none,0,0,0,31,3,1.5,3
TI,313054,55,55,15,61.6,63.6,18.8,37.68,14.11,20,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,none,3,3,3,3,3,,,29,4,4,4
TI,313010,47,45,14,59.8,61,17.4,27.28,11.09,20,m,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,,,,,,,,,24,2,3,3
TI,313051,66,67,19,96.1,71.3,21.1,48.96,18.08,25,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,313017,55,57,16,62.5,69.3,19.5,36.76,14.52,20,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,313019,47,50,14,56,61.6,17.8,30.59,12.06,21,m,2,2,2,2,1,2,1,2,2,2,2,2,2,3,2,2,2,3,2,1,2,2,2,2,,,,,,,,,24,2,2,2
TI,313020,66,69,18,70.5,71.9,20.3,55.18,16.89,21,m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,24,1,1,1
